id,名字,type,classname
,,,
801,魔法男篮,1,avatar.1.1
802,魔法女红,1,avatar.1.2
803,魔法男桔色,1,avatar.1.3
804,魔法女白,1,avatar.1.4
8001,鸡,1,avatar.1.101
8002,木头人,1,avatar.1.102
8003,狗熊,1,avatar.1.103
8004,食人花,1,avatar.1.104
8005,石头人,1,avatar.1.105
8006,绵羊,1,avatar.1.106
8007,铁皮人,1,avatar.1.107
8008,冰块人,1,avatar.1.108
8301,约克,2,student.1.301
8302,露娜,2,student.2.302
8303,山特,2,student.3.303
8304,安洁儿,2,student.4.304
8305,艾登,2,student.5.305
8306,海伦,2,student.6.306
8307,罗尼斯,2,student.7.307
8308,杰克,2,student.8.308
8309,艾斯特,2,student.1.301
8310,尤利亚,2,student.2.302
8311,翰朗,2,student.3.303
8312,莱伊,2,student.4.304
8313,利贝尔,2,student.5.305
8314,雷顿,2,student.6.306
8315,贝卡,2,student.7.307
8316,埃德蒙,2,student.8.308
8317,弗瑞达,2,student.1.301
8318,艾斯,2,student.2.302
8319,瓦谢里,2,student.3.303
8320,密特尔,2,student.4.304
8321,谢尔瓦,2,student.5.305
8322,奥杰,2,student.6.306
1,乐乐,3,npc.1.1
2,商人,3,npc.1.2
3,王国士兵,3,npc.1.3
4,耳熊,3,npc.1.4
5,矮人王,3,npc.1.5
6,渔人肥西,3,npc.1.6
7,渔人灿灿,3,npc.1.7
8,猴子船长,3,npc.1.8
9,委屈的章鱼,3,npc.1.9
10,挖宝者,3,npc.1.10
11,骆驼镇长,3,npc.1.11
12,黑精灵,3,npc.1.12
13,独角兽,3,npc.1.13
14,狼人哥,3,npc.1.14
15,冻僵的法师,3,npc.1.15
16,狼人弟,3,npc.1.16
17,匹诺曹,3,npc.1.17
18,夹子,3,npc.1.18
19,铁皮,3,npc.1.19
20,石头,3,npc.1.20
21,国王,3,npc.1.21
22,拍拍,3,npc.1.22
23,巴巴拉,3,npc.1.23
24,艾利,3,npc.1.24
7001,红波利,4,monster.1.redboli
7002,绿波利,4,monster.1.greenboli
7003,粉波利,4,monster.1.pinkboli
7004,黑波利,4,monster.1.blackboli
7005,棕熊,4,monster.1.bear
7006,棕熊王,4,monster.1.bearking
7007,寄居蟹,4,monster.1.bloo
7008,龟刺蟹,4,monster.1.blooking
7009,小乌贼,4,monster.1.swuzei
7010,乌贼首领,4,monster.1.bwuzei
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
