任务id,子任务ID,（LV),任务所在场景,接NPC(ID),接场景ID,交NPC(ID),交场景ID,iconclass,任务名称,任务描述,任务条件描述,完成条件,新增上缴材料,累计完成条件,图标显示用type,奖励用户属性,奖励道具,奖励装饰物
,,,,,,,,,,,,,,,,,,
2001,3001,1,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/5次魔法,1/type:3;id:0;num:5;,0,0,0,exp:20;,"[[21,1]]",[]
2002,3002,1,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/3次,1/type:4;id:0;num:3;,,,,exp:20;,"[[21,1]]",[]
2003,3003,2,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用1次变化咒<!1@>/1,1/type:11;id:0;num:1;,,,,exp:20;,"[[21,1]]",[]
2004,3004,2,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用2次变化咒<!1@>/2,1/type:11;id:0;num:2;,,,,exp:30;,"[[21,1]]",[]
2005,3005,3,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/5个黄水晶,,1/type:2;id:8311;num:5;,,1/cat:1;id:8311;num:5;,exp:20;,"[[21,1]]",[]
2006,3006,3,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成一个木制门,木制门<!1@>/1,1/type:1;id:192001;num:1;,,,,exp:20;,"[[21,1]]",[]
2007,3007,3,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成一个木制灯,木制灯<!1@>/1,1/type:1;id:195001;num:1;,,,,exp:20;,"[[21,1]]",[]
2008,3008,4,矮人森林,1,1000001,1,1000001,iconclass.1.lele,邀请好友,增加自己的好友数量,好友数达到<!1@>/1,,,1/invite_friends_num:>=1;,,exp:20;,"[[21,1]]",[]
2009,3009,4,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/4次,1/type:4;id:0;num:4;,,,,exp:20;,"[[21,1]]",[]
2010,3010,5,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/2种以上的魔法,,,1/study_magic_num:>=2;,,exp:20;,"[[21,1]]",[]
2011,3011,6,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/7级,,,1/level:>=7;,,exp:15;,"[[21,1]]",[]
2012,3012,6,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/5次,1/type:4;id:0;num:5;,,,,exp:20;,"[[21,1]]",[]
2013,3013,7,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收钱,在魔法世界中没有钱也是不行的,收钱<!1@>/100G,1/type:9;id:0;num:100;,,,,exp:20;,"[[21,1]]",[]
2014,3014,8,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/3种以上的魔法,,,1/study_magic_num:>=3;,,exp:30;,"[[21,1]]",[]
2015,3015,8,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/10个黄水晶,,1/type:2;id:8311;num:10;,,1/cat:1;id:8311;num:10;,exp:30;,"[[21,1]]",[]
2016,3016,9,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/10级,,,1/level:>=10;,,exp:15;,"[[21,1]]",[]
2017,3017,11,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/6次魔法,1/type:3;id:0;num:6;,0,0,0,exp:20;,"[[21,1]]",[]
2018,3018,11,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/5次,1/type:4;id:0;num:5;,,,,exp:30;,"[[21,1]]",[]
2019,3019,11,矮人森林,1,1000001,1,1000001,iconclass.1.lele,使用变化咒,变化自己或者好友,使用3次变化咒<!1@>/3,1/type:11;id:0;num:3;,,,,exp:80;,"[[21,1]]",[]
2020,3020,12,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/15个黄水晶,,1/type:2;id:8311;num:15;,,1/cat:1;id:8311;num:15;,exp:30;,"[[21,1]]",[]
2021,3021,12,矮人森林,1,1000001,1,1000001,iconclass.1.lele,传授魔法,点击学生传授魔法,传授学生<!1@>/7次魔法,1/type:3;id:0;num:7;,0,0,0,exp:20;,"[[21,1]]",[]
2022,3022,13,矮人森林,1,1000001,1,1000001,iconclass.1.lele,合成术,使用合成术合成2个绿色罐子,合成2个绿色罐子<!1@>/2,1/type:1;id:195002;num:2;,,,,exp:30;,"[[21,1]]",[]
2023,3023,13,矮人森林,1,1000001,1,1000001,iconclass.1.lele,邀请好友,增加自己的好友数量,好友数达到<!1@>/2,,,1/invite_friends_num:>=2;,,exp:80;,"[[21,1]]",[]
2024,3024,13,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收钱,在魔法世界中没有钱也是不行的,收钱<!1@>/200G,1/type:9;id:0;num:200;,,,,exp:30;,"[[21,1]]",[]
2025,3025,14,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/4种以上的魔法,,,1/study_magic_num:>=4;,,exp:80;,"[[21,1]]",[]
2026,3026,14,矮人森林,1,1000001,1,1000001,iconclass.1.lele,成长之路,提升自己的人物等级,人物等级达到<!1@>/15级,,,1/level:>=15;,,exp:30;,"[[21,1]]",[]
2027,3027,14,矮人森林,1,1000001,1,1000001,iconclass.1.lele,解救学生,解救被魔法吞噬的学生,解救学生<!1@>/5次,1/type:4;id:0;num:5;,,,,exp:80;,"[[21,1]]",[]
2028,3028,15,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收钱,在魔法世界中没有钱也是不行的,收钱<!1@>/300G,1/type:9;id:0;num:300;,,,,exp:80;,"[[21,1]]",[]
2029,3029,15,矮人森林,1,1000001,1,1000001,iconclass.1.lele,魔法修行,学习包括魔法课程和变化咒在内的任何魔法。提示：打开魔法书的按钮可以找到并且学会这些魔法。,学会魔法<!1@>/5种以上的魔法,,,1/study_magic_num:>=5;,,exp:80;,"[[21,1]]",[]
2030,3030,15,矮人森林,1,1000001,1,1000001,iconclass.1.lele,收集材料,提示：你可以通过变化咒来获得材料,<!1@>/20个黄水晶,,1/type:2;id:8311;num:20;,,1/cat:1;id:8311;num:20;,exp:80;,"[[21,1]]",[]
