id,标题,动作,图片,图片上的Q文,描述的文字信息,描述的文字信息,游戏描述，人人每段都有,游戏中feed文字,奖励用户属性,奖励道具,奖励装饰物
,,,,,,,,,,,
,xxx进入了快乐魔法的世界！,开通应用,,,变好友，合成家具，学魔法,欢迎来到快乐魔法的世界！这里有飞行的魔法屋，各种好玩的魔法，千种合成术装扮小屋，变好友，教学生。,,点击和好友分享会得到奖励哦，每日5次机会,coin200;,[],[]
,xxx加入了快乐魔法团,加关注,,,加入粉丝获得更多奖励！,,,点击和好友分享会得到奖励哦，每日5次机会,coin200;,[],[]
,升啦~~升啦~~xxx升啦！Xxx在快乐魔法中的游戏中华丽的升级了。,人物升级,,LV UP！,xxx在快乐魔法的游戏中升到了x级了，xxx果然是人才啊,我在快乐魔法的游戏中升到了x级了，我果然是人才啊,,点击和好友分享会得到奖励哦，每日5次机会,coin200;,[],[]
,XXX的教室升级了！,教室升级,,,成功对我不过是时间问题！,成功对我不过是时间问题！,,点击和好友分享会得到奖励哦，每日5次机会,coin200;,,
,xxx领悟了新的变化术！,学会新的变化咒,,,xxx研究出了新的变化咒，又可以拿好友来开涮了,xxx研究出了新的变化咒，又可以拿好友来开涮了,,点击和好友分享会得到奖励哦，每日5次机会,coin200;,[],[]
,xxx研究出了新魔法,学会新的魔法课程,,,xxx经过不懈努力，终于研究出了新的魔法ooo，今后势必财源滚滚啊！,xxx研究出了新的魔法，大家闪烁着崇拜的目光,,点击和好友分享会得到奖励哦，每日5次机会,coin200;,[],[]
,快来和我一起玩吧！,教室扩大,,,只有大面积，才有大发展！,大面积才有大发展！,,点击和好友分享会得到奖励哦，每日5次机会,coin200;,,
,xx和他的魔法小屋来到了yyy,来到新的场景,,安全着陆,xxx的魔法小屋飞行到了一个名叫xxxx的地方，这里的人用好奇的眼神看着他。,我的魔法小屋飞行到了一个名叫xxxx的地方，这里的人用奇怪的眼神看着他。,,点击和好友分享会得到奖励哦，每日5次机会,coin200;,[],[]
,每日登陆分享 得奖励,当天首次登陆游戏,,,如此简单就得到这么多好东西，这个世界真的是太轻松了！,,,点击和好友分享会得到奖励哦，每日5次机会,coin200;,[],[]
,xxx合成出了yyy,合成咒,,,xxx轻松的就合成出了 yyy，真不愧是魔法界的天才啊！,xxx轻松的就合成出了 yyy，真是魔法界的一朵奇葩,,点击和好友分享会得到奖励哦，每日5次机会,coin200;,[],[]
频繁,yyy被xxx变成了oo！,使用变化咒,,我变我变我变变变,xxx使用变化咒，把yyy变成了ooo，真是杯具啊,,,点击和好友分享会得到奖励哦，每日5次机会,coin200;,[],[]
,一起来快乐魔法吧！,好友邀请,,360度旋转跪求好友,xxx用探照灯一样的眼神，邀请你和ta一起玩快乐魔法,我像你发出邀请，敢不敢来和我一起玩快乐魔法,,点击和好友分享会得到奖励哦，每日5次机会,coin200;,[],[]
,你收到了一份惊喜礼物！,礼物通知,,,yyy送给你一份礼物，快去,这是一个xxx礼物，不想回赠我一个吗？,,点击和好友分享会得到奖励哦，每日5次机会,coin200;,[],[]
,xxx希望你送给他一份礼物,索要礼物,,,我真的很需要这个礼物～求求你，快点送这个给我吧～你只需要点一下下就可以喔～感恩～,yyy的合成魔法需要你的帮助！作为回报，你也可以获得经验！,,点击和好友分享会得到奖励哦，每日5次机会,coin200;,[],[]
,xxx鸿运当头，抽中了大奖！,抽中大奖,,,当大款真累啊！整天就专注于吃喝玩乐，真的是太累了！,当大款真累啊！整天就专注于吃喝玩乐，真的是太累了！,,点击和好友分享会得到奖励哦，每日5次机会,coin200;,[],[]
